animal,animal
dog,chien
fish,poisson
food,nourriture
horse,cheval
tail,queue
light,lumiere
sun,soleil
snow,neige
boat,bateau
car,voiture
door,porte
course,terrain
center,centre
city,ville
farm,ferme
home,maison
house,maison
room,chambre
bed,lit
plane,avion
road,route
way,chemin
street,rue
surface,surface
school,ecole
town,village
port,port
tree,arbre
sea,mer
ship,navire
water,eau
river,riviere
land,terre
island,ile
moon,lune
mountain,montagne
plant,plante
star,etoile
wind,vent
fire,feu
wood,bois
ground,sol
boy,garcon
children,enfants
family,famille
friend,ami
girl,fille
group,groupe
man,homme
men,hommes
mother,mere
people,gens
person,personne
king,roi
body,corps
eye,yeux
face,visage
hand,main
head,tete
feet,pieds
foot,le pied
age,age
world,monde
year,annee
West,l'ouest
Earth,la Terre
North,le nord
East,l'est
country,pays
South,le sud
day,jour
morning,matin
night,nuit
thing,chose
book,livre
box,boite
class,classe
color,couleur
example,exemple
file,dossier
form,forme
line,ligne
machine,machine
map,carte
music,musique
noun,nom
figure,chiffre
air,air
area,zone
base,base
number,numero
game,jeu
list,liste
object,objet
order,commande
paper,papier
letter,lettre
story,histoire
pattern,modele
picture,image
piece,piece
towel,serviette
place,place
point,point
name,nom
word,mot
round,rond
rule,regle
science,science
sentence,phrase
song,chanson
sound,son
state,etat
step,pas
table,table
test,test
power,pouvoir
product,produit
part,part
voice,voix
war,guerre
wheel,roue
work,travail
measure,mesure
inch,pouce
time,temps
hour,heure
minute,minute
pound,une livre
money,argent
week,semaine
unit,unite
shape,forme
side,cote
size,taille
beauty,beaute
problem,probleme
notice,remarque
question,question
thought,pensee
mind,esprit
heat,chaleur
help,aide
idea,idee
interest,interet
love,amour
end,fin
fact,un fait
blue,bleu
black,noir
dark,sombre
gold,or
green,vert
red,rouge
white,blanc
five,cinq
four,quatre
first,premier
hundred,cent
second,second
six,six
ten,dix
thousand,mille
three,trois
best,meilleur
better,mieux
big,gros
large,large
short,court
little,peu
long,long
old,vieux
young,jeune
busy,occupe
clear,clair
common,commun
complete,complet
correctable,corrigible
deep,profond
direct,direct
done,termine
dry,sec
far,loin
fast,rapide
few,peu
final,dernier
fine,bien
free,libre
full,plein
good,bien
great,genial
half,demi
hard,difficile
hot,chaud
kind,gentil
last,dernier
late,en retard
less,moins
low,faible
new,nouveau
next,suivant
numeral,numeral
other,autre
plain,plaine
possible,possible
quick,rapide
ready,pret
real,vrai
rich,riche
right,droite
same,identique
several,nombreux
simple,simple
slow,lent
small,petit
special,special
strong,fort
top,haut
usual,habituel
warm,chaud
well,bien
whole,entier
be,etre
have,avoir
act,agir
add,ajouter
answer,repondre
appear,apparaitre
ask,demander
begin,commencer
bring,apporter
build,construire
call,appeler
come,venir
care,prendre soin de
carry,porter
cause,provoquer
change,changer
check,controler
close,fermer
contain,contenir
cross,traverser
cry,pleurer
cut,couper
decide,decider
develop,developper
do,faire
differ,differer
draw,dessiner
drive,conduire
ease,faciliter
eat,manger
fall,tomber
feel,ressentir
fill,remplir
find,trouver
fly,voler
follow,suivre
give,donner
get,obtenir
go,aller
govern,gouverner
grow,grandir
happen,arriver
hear,entendre
help,aider
hold,tenir
keep,garder
know,savoir
laugh,rire
lay,coucher
lead,mener
learn,apprendre
leave,quitter
like,aimer
listen,ecouter
live,vivre
look,regarder
love,aimer
make,faire
mark,marquer
mean,signifier
miss,manquer
move,bouger
need,avoir besoin
note,noter
open,ouvrir
own,posseder
pass,passer
play,jouer
press,appuyer
produce,produire
pull,tirer
put,mettre
rain,pleuvoir
run,courir
reach,atteindre
read,lire
record,enregistrer
remember,se souvenir
rest,se reposer
say,dire
see,voir
seem,sembler
serve,servir
set,mettre en place
show,montrer
sing,chanter
sit,s'asseoir
sleep,dormir
spell,epeler
stand,se tenir debout
start,commencer
stay,rester
stop,arreter
study,etudier
take,prendre
talk,parler
teach,enseigner
tell,dire
think,penser
travel,voyager
try,essayer
turn,tourner
use,utiliser
wait,attendre
walk,marcher
want,vouloir
watch,regarder
wonder,demander
work,travailler
write,ecrire
